"Time (s) Run #5","Angle (rad) Run #5","Angular Velocity (rad/s) Run #5","Angular Acceleration (rad/s²) Run #5","State Run #5"
27.600,1.946,-5.716,-7.951,
27.650,1.654,-6.210,-10.036,
27.665,,,,1.00
27.700,1.331,-6.792,-9.890,
27.722,,,,0.00
27.750,0.973,-7.316,-6.448,
27.800,0.589,-7.578,0.921,
27.850,0.201,-7.359,11.878,
27.900,-0.170,-6.472,24.774,
27.950,-0.476,-4.858,36.749,
28.000,-0.676,-2.647,44.748,
28.050,-0.750,-0.160,46.833,
28.100,-0.689,2.254,42.712,
28.150,-0.511,4.291,33.452,
28.200,-0.240,5.716,20.944,
28.250,0.087,6.414,7.612,
28.300,0.428,6.414,-4.218,
28.350,0.746,5.876,-13.090,
28.400,1.025,4.989,-18.811,
28.450,1.252,3.912,-22.059,
28.500,1.418,2.734,-23.610,
28.550,1.527,1.513,-24.095,
28.600,1.571,0.305,-23.950,
28.650,1.553,-0.887,-23.610,
28.700,1.484,-2.051,-23.271,
28.750,1.348,-3.214,-22.544,
28.800,1.161,-4.349,-20.653,
28.850,0.912,-5.352,-16.629,
28.900,0.615,-6.109,-9.745,
28.950,,,,1.00
28.950,0.288,-6.443,0.339,
29.000,-0.048,-6.181,13.041,
29.007,,,,0.00
29.050,-0.358,-5.178,26.374,
29.100,-0.593,-3.462,37.428,
29.150,-0.720,-1.251,43.633,
29.200,-0.724,1.120,43.924,
29.250,-0.602,3.331,38.688,
29.300,-0.375,5.134,29.283,
29.350,-0.070,6.341,17.696,
29.400,0.284,6.894,6.254,
29.450,0.641,6.880,-3.006,
29.500,0.982,6.472,-9.163,
29.550,1.296,5.861,-12.363,
29.600,1.571,5.163,-13.235,
29.650,1.811,4.480,-12.557,
29.700,2.016,3.883,-11.054,
29.750,2.195,3.374,-9.308,
29.800,2.352,2.953,-7.563,
29.850,2.487,2.618,-5.818,
29.900,2.609,2.371,-4.024,
29.950,2.723,2.211,-2.036,
30.000,2.827,2.153,0.242,
30.050,2.932,2.225,2.812,
30.100,3.046,2.429,5.575,
30.150,3.172,2.778,8.339,
30.200,3.316,3.272,10.811,
30.241,,,,1.00
30.250,3.495,3.883,12.508,
30.299,,,,0.00
30.300,3.704,4.567,12.799,
30.350,3.949,5.236,10.860,
30.400,4.232,5.760,6.012,
30.450,4.538,5.949,-1.697,
30.500,4.843,5.658,-11.393,
30.550,5.123,4.829,-21.574,
30.600,5.345,3.462,-30.446,
30.650,5.485,1.673,-36.216,
30.700,5.520,-0.320,-37.670,
30.750,5.450,-2.254,-34.713,
30.800,5.284,-3.912,-28.168,
30.850,5.044,-5.149,-19.296,
30.900,4.752,-5.876,-9.599,
30.950,4.437,-6.080,-0.776,
31.000,4.128,-5.861,5.818,
31.050,3.844,-5.396,9.696,
31.100,3.587,-4.814,11.151,
31.150,3.360,-4.218,10.763,
31.200,3.168,-3.694,9.211,
31.250,2.998,-3.287,7.272,
31.300,2.841,-2.982,5.430,
31.350,2.701,-2.749,3.685,
31.400,2.570,-2.603,2.036,
31.450,2.443,-2.560,0.727,
31.500,2.317,-2.560,-0.048,
31.534,,,,1.00
31.550,2.186,-2.574,-0.436,
31.591,,,,0.00
31.600,2.059,-2.603,-0.776,
31.650,1.929,-2.647,-1.164,
31.700,1.793,-2.720,-1.551,
31.750,1.658,-2.807,-1.891,
31.800,1.514,-2.909,-2.230,
31.850,1.366,-3.025,-2.715,
31.900,1.213,-3.171,-3.297,
31.950,1.052,-3.360,-3.636,
32.000,0.877,-3.563,-3.345,
32.050,0.694,-3.723,-2.230,
32.100,0.502,-3.811,-0.291,
32.150,0.310,-3.782,2.473,
32.200,0.118,-3.592,5.963,
32.250,-0.057,-3.200,9.793,
32.300,-0.209,-2.603,13.381,
32.350,-0.323,-1.833,15.999,
32.400,-0.397,-0.945,17.017,
32.450,-0.419,-0.058,16.096,
32.500,-0.397,0.727,13.575,
32.550,-0.340,1.324,10.230,
32.600,-0.257,1.745,6.690,
32.650,-0.161,1.993,3.297,
32.700,-0.052,2.065,0.291,
32.750,0.052,1.993,-1.988,
32.800,0.148,1.833,-3.442,
32.831,,,,1.00
32.850,0.236,1.629,-4.218,
32.888,,,,0.00
32.900,0.314,1.396,-4.460,
32.950,0.375,1.164,-4.218,
33.000,0.428,0.960,-3.636,
33.050,0.471,0.800,-3.006,
33.100,0.506,0.669,-2.570,
33.150,0.537,0.553,-2.473,
33.200,0.563,0.436,-2.715,
33.250,0.580,0.291,-3.200,
33.300,0.593,0.116,-3.830,
33.350,0.593,-0.087,-4.557,
33.400,0.585,-0.335,-5.430,
33.450,0.563,-0.625,-6.448,
33.500,0.524,-0.974,-7.418,
33.550,0.467,-1.382,-7.951,
33.600,0.388,-1.804,-7.660,
33.650,0.284,-2.182,-6.400,
33.700,0.166,-2.473,-4.169,
33.750,0.035,-2.633,-0.824,
33.800,-0.105,-2.603,3.636,
33.850,-0.236,-2.298,8.630,
33.900,-0.345,-1.716,13.187,
33.950,-0.415,-0.931,16.435,
34.000,-0.441,-0.015,17.987,
34.050,-0.419,0.931,17.744,
34.100,-0.345,1.818,15.853,
34.138,,,,1.00
34.150,-0.231,2.560,12.702,
34.197,,,,0.00
34.200,-0.083,3.113,8.775,
34.250,0.087,3.447,4.654,
34.300,0.271,3.563,0.873,
34.350,0.449,3.505,-2.230,
34.400,0.624,3.316,-4.654,
34.450,0.785,3.025,-6.545,
34.500,0.929,2.647,-7.951,
34.550,1.052,2.211,-8.921,
34.600,1.152,1.745,-9.648,
34.650,1.226,1.251,-10.423,
34.700,1.278,0.713,-11.442,
34.750,1.300,0.116,-12.702,
34.800,1.292,-0.553,-14.205,
34.850,1.248,-1.294,-15.902,
34.900,1.165,-2.138,-17.550,
34.950,1.038,-3.069,-18.568,
35.000,0.860,-4.043,-18.035,
35.050,0.633,-4.960,-14.981,
35.100,0.358,-5.658,-8.775,
35.150,0.052,-5.949,0.436,
35.200,-0.257,-5.687,11.684,
35.250,-0.537,-4.800,23.320,
35.300,-0.759,-3.302,33.307,
35.350,-0.886,-1.338,39.609,
35.400,-0.899,0.844,41.015,
35.450,-0.798,2.938,37.525,
35.459,,,,1.00
35.500,-0.593,4.727,30.107,
35.518,,,,0.00
35.550,-0.310,6.036,20.314,
35.600,0.031,6.778,10.084,
35.650,0.388,6.981,1.503,
35.700,0.742,6.807,-4.024,
35.750,1.073,6.458,-6.206,
35.800,1.388,6.094,-5.575,
35.850,1.680,5.832,-2.860,
35.900,1.963,5.760,1.164,
35.950,2.247,5.934,5.721,
36.000,2.548,6.341,9.987,
