"Time (s) Run #4","Angle (rad) Run #4","Angular Velocity (rad/s) Run #4","Angular Acceleration (rad/s²) Run #4","State Run #4"
14.450,-1.379,5.934,20.120,
14.500,-1.052,6.967,17.550,
14.550,-0.676,7.825,11.054,
14.600,-0.257,8.247,0.048,
14.650,0.175,7.970,-14.496,
14.700,0.572,6.836,-29.913,
14.750,0.886,4.887,-42.809,
14.800,1.082,2.356,-50.275,
14.850,1.130,-0.393,-50.857,
14.900,1.034,-2.967,-44.845,
14.950,0.816,-5.047,-33.792,
15.000,0.506,-6.443,-19.780,
15.050,0.144,-7.054,-5.042,
15.100,-0.227,-6.894,8.290,
15.150,-0.567,-6.109,18.568,
15.200,-0.851,-4.901,25.162,
15.250,-1.065,-3.476,28.362,
15.300,-1.200,-1.978,28.992,
15.350,-1.261,-0.524,28.071,
15.400,-1.248,0.844,26.519,
15.450,-1.174,2.123,24.725,
15.500,-1.034,3.331,22.301,
15.550,-0.838,4.407,18.423,
15.600,-0.585,5.251,12.363,
15.650,-0.301,5.730,3.927,
15.700,0.004,5.716,-6.400,
15.750,0.292,5.120,-17.259,
15.800,0.537,3.942,-26.762,
15.850,0.702,2.327,-33.064,
15.900,0.777,0.480,-35.004,
15.950,0.750,-1.338,-32.337,
16.000,0.633,-2.894,-25.744,
16.050,0.445,-4.000,-16.629,
16.100,0.214,-4.581,-6.593,
16.150,-0.031,-4.640,3.006,
16.200,-0.266,-4.232,11.248,
16.250,-0.467,-3.447,17.453,
16.300,-0.620,-2.400,21.283,
16.350,-0.711,-1.236,22.786,
16.400,-0.742,-0.058,22.350,
16.450,-0.716,1.047,20.362,
16.500,-0.633,2.022,17.065,
16.550,-0.506,2.793,12.654,
16.600,-0.345,3.316,7.272,
16.650,-0.166,3.549,1.115,
16.700,0.022,3.447,-5.527,
16.750,0.192,2.996,-11.975,
16.800,0.332,2.211,-17.211,
16.850,0.423,1.193,-20.120,
16.900,0.454,0.087,-20.120,
16.950,0.428,-0.916,-17.599,
17.000,0.353,-1.716,-13.429,
17.050,0.249,-2.283,-8.387,
17.100,0.118,-2.574,-2.860,
17.150,-0.022,-2.574,2.666,
17.200,-0.148,-2.283,7.515,
17.250,-0.257,-1.774,11.102,
17.300,-0.332,-1.120,13.041,
17.350,-0.371,-0.407,13.332,
17.400,-0.371,0.262,12.266,
17.450,-0.340,0.844,10.230,
17.500,-0.284,1.309,7.466,
17.550,-0.205,1.614,4.169,
17.600,-0.113,1.731,0.727,
17.650,-0.026,1.673,-2.521,
17.700,0.057,1.469,-5.478,
17.750,0.127,1.120,-7.902,
17.800,0.175,0.640,-9.211,
17.850,0.192,0.131,-8.969,
17.900,0.183,-0.305,-7.466,
17.950,0.157,-0.625,-5.430,
18.000,0.118,-0.844,-3.297,
18.050,0.070,-0.960,-1.164,
18.100,0.017,-0.960,0.921,
18.150,-0.031,-0.858,2.763,
18.200,-0.070,-0.669,4.169,
18.250,-0.100,-0.422,4.945,
18.300,-0.113,-0.145,4.897,
18.350,-0.113,0.102,4.072,
18.400,-0.100,0.276,2.763,
18.450,-0.083,0.378,1.357,
18.500,-0.061,0.407,0.097,
18.550,-0.039,0.378,-0.873,
18.600,-0.022,0.305,-1.454,
18.650,-0.009,0.218,-1.697,
18.700,0.000,0.131,-1.648,
18.750,0.004,0.044,-1.309,
18.800,0.004,-0.015,-0.727,
18.850,0.000,-0.029,-0.145,
18.900,0.000,-0.015,0.145,
18.950,0.000,0.000,0.145,
19.000,0.000,0.000,0.145,
19.050,0.000,0.000,0.630,
19.100,0.000,0.029,1.309,
19.150,0.000,0.160,0.679,
19.200,0.009,0.233,-4.800,
19.250,0.039,0.000,-22.932,
19.300,0.031,-1.251,-56.287,
19.350,-0.022,-5.236,-90.321,
19.400,-0.305,-11.417,-99.532,
19.450,-1.196,-16.930,-73.546,
19.500,-2.221,-19.417,-31.416,
19.550,-3.185,-19.300,3.394,
19.600,-4.141,-18.471,26.810,
19.650,-5.066,-16.857,48.627,
19.700,-5.882,-13.817,73.207,
19.750,-6.501,-9.367,94.393,
19.800,-6.850,-4.000,105.932,
19.850,-6.907,1.644,105.738,
19.900,-6.676,6.952,94.199,
19.950,-6.183,11.403,73.110,
20.000,-5.489,14.501,46.542,
20.050,-4.673,16.028,21.477,
20.100,-3.835,16.290,5.381,
20.150,-3.028,16.057,0.970,
20.200,-2.247,16.086,3.442,
20.250,-1.444,16.522,3.248,
20.300,-0.593,16.857,-7.272,
20.350,0.275,16.261,-28.798,
20.400,1.091,14.166,-55.269,
20.450,1.750,10.574,-78.346,
20.500,2.182,5.963,-92.454,
20.550,2.356,0.960,-96.284,
20.600,2.273,-3.956,-90.757,
20.650,1.946,-8.392,-76.601,
20.700,1.405,-11.912,-54.638,
20.750,0.707,-14.064,-28.022,
20.800,-0.061,-14.675,-2.763,
20.850,-0.807,-14.035,14.738,
20.900,-1.484,-12.770,21.380,
20.950,-2.081,-11.548,18.859,
21.000,-2.618,-10.748,12.169,
21.050,-3.137,-10.399,6.787,
21.100,-3.652,-10.268,6.497,
21.150,-4.167,-9.992,12.702,
21.200,-4.669,-9.207,24.386,
21.250,-5.118,-7.650,38.494,
21.300,-5.463,-5.294,50.954,
21.350,-5.668,-2.356,58.178,
21.400,-5.707,0.785,58.226,
21.450,-5.581,3.723,51.148,
21.500,-5.315,6.094,38.688,
21.550,-4.944,7.679,23.659,
21.600,-4.516,8.436,9.260,
21.650,-4.075,8.479,-1.648,
21.700,-3.652,8.072,-7.175,
21.750,-3.264,7.549,-7.127,
21.800,-2.906,7.214,-3.006,
21.850,-2.557,7.199,3.006,
21.900,-2.195,7.519,9.163,
21.950,-1.815,8.145,14.011,
22.000,-1.392,9.018,15.514,
22.050,-0.916,9.905,11.393,
22.100,-0.388,10.414,0.436,
22.150,0.153,10.167,-16.241,
22.200,0.663,8.887,-35.294,
22.250,1.082,6.560,-52.214,
22.300,1.348,3.432,-62.880,
22.350,1.436,-0.044,-65.062,
22.400,1.340,-3.374,-58.711,
22.450,1.078,-6.152,-45.476,
22.500,0.694,-8.072,-27.974,
22.550,0.236,-8.988,-9.405,
22.600,-0.240,-8.930,7.030,
