"Time (s) Run #6","Angle (rad) Run #6","Angular Velocity (rad/s) Run #6","Angular Acceleration (rad/s²) Run #6","State Run #6"
25.150,-0.022,0.029,0.339,
25.200,-0.017,0.044,0.097,
25.250,-0.017,0.044,-0.097,
25.300,-0.013,0.029,-0.242,
25.350,-0.013,0.015,-0.242,
25.400,-0.013,0.000,-0.145,
25.450,-0.013,0.000,-0.048,
25.500,-0.013,0.000,0.000,
25.550,-0.013,0.000,0.000,
25.600,-0.013,0.000,0.000,
25.650,-0.013,0.000,0.000,
25.700,-0.013,0.000,0.000,
25.750,-0.013,0.000,0.000,
25.800,-0.013,0.000,0.000,
25.850,-0.013,0.000,0.000,
25.900,-0.013,0.000,0.000,
25.950,-0.013,0.000,0.000,
26.000,-0.013,0.000,0.000,
26.050,-0.013,0.000,0.000,
26.100,-0.013,0.000,0.000,
26.150,-0.013,0.000,0.000,
26.200,-0.013,0.000,0.000,
26.250,-0.013,0.000,0.000,
26.300,-0.013,0.000,0.000,
26.350,-0.013,0.000,0.194,
26.400,-0.013,0.000,4.606,
26.450,-0.013,0.058,20.314,
26.500,-0.013,1.324,47.657,
26.550,0.004,4.771,72.383,
26.600,0.367,9.585,75.485,
26.650,1.038,13.512,55.075,
26.700,1.828,15.228,27.925,
26.750,2.596,15.650,9.260,
26.800,3.377,15.824,-2.230,
26.850,4.184,15.693,-16.968,
26.900,4.987,14.515,-39.221,
26.950,5.694,11.868,-64.189,
27.000,6.222,7.883,-84.309,
27.050,6.510,3.069,-94.830,
27.100,6.536,-1.978,-94.345,
27.150,6.301,-6.720,-83.339,
27.200,5.838,-10.632,-63.511,
27.250,5.192,-13.279,-38.543,
27.300,4.455,-14.472,-14.593,
27.350,3.700,-14.443,1.891,
27.400,2.989,-13.846,7.660,
27.450,2.326,-13.337,4.800,
27.500,1.676,-13.279,-0.339,
27.550,1.012,-13.570,-0.630,
27.600,0.319,-13.715,8.484,
27.650,-0.388,-13.090,26.665,
27.700,-1.038,-11.214,49.063,
27.750,-1.558,-8.072,69.037,
27.800,-1.876,-4.014,81.449,
27.850,-1.972,0.422,84.115,
27.900,-1.828,4.727,76.940,
27.950,-1.479,8.421,61.135,
28.000,-0.951,11.068,39.464,
28.050,-0.323,12.421,16.872,
28.100,0.336,12.566,-0.776,
28.150,0.960,11.985,-9.405,
28.200,1.536,11.272,-8.872,
28.250,2.073,10.894,-2.715,
28.300,2.605,10.996,3.733,
28.350,3.159,11.446,5.381,
28.400,3.748,11.839,-0.921,
28.450,4.363,11.665,-15.320,
28.500,4.952,10.501,-34.713,
28.550,5.454,8.189,-54.008,
28.600,5.808,4.901,-68.213,
28.650,5.965,1.062,-74.128,
28.700,5.912,-2.836,-70.734,
28.750,5.668,-6.312,-58.711,
28.800,5.253,-8.945,-40.336,
28.850,4.730,-10.443,-19.683,
28.900,4.167,-10.806,-1.697,
28.950,3.622,-10.356,9.793,
29.000,3.120,-9.541,13.623,
29.050,2.670,-8.770,11.199,
29.100,2.256,-8.305,5.284,
29.150,1.854,-8.232,-1.261,
29.200,1.444,-8.494,-6.060,
29.250,1.012,-8.959,-7.127,
29.300,0.550,-9.396,-2.812,
29.350,0.061,-9.468,7.466,
29.400,-0.423,-8.828,22.350,
29.450,-0.855,-7.287,38.591,
29.500,-1.182,-4.872,52.069,
29.550,-1.366,-1.847,59.293,
29.600,-1.374,1.353,58.517,
29.650,-1.217,4.276,50.275,
29.700,-0.925,6.560,36.797,
29.750,-0.532,8.029,20.992,
29.800,-0.092,8.639,5.915,
29.850,0.358,8.494,-5.866,
29.900,0.777,7.869,-12.896,
29.950,1.148,7.039,-15.223,
30.000,1.479,6.225,-13.866,
30.050,1.767,5.571,-9.939,
30.100,2.025,5.178,-4.606,
30.150,2.273,5.105,0.921,
30.200,2.526,5.309,5.721,
30.250,2.797,5.716,9.308,
30.300,3.094,6.283,11.199,
