"Time (s) Run #3","Angle (rad) Run #3","Angular Velocity (rad/s) Run #3","Angular Acceleration (rad/s²) Run #3","State Run #3"
29.650,-0.196,-2.283,-7.175,
29.700,-0.327,-2.516,-1.261,
29.750,-0.458,-2.429,5.042,
29.764,,,,1.00
29.800,-0.580,-2.007,11.199,
29.820,,,,0.00
29.850,-0.672,-1.280,16.290,
29.900,-0.716,-0.305,19.393,
29.950,-0.707,0.756,19.926,
30.000,-0.637,1.774,17.938,
30.050,-0.524,2.618,14.060,
30.100,-0.367,3.214,8.969,
30.150,-0.192,3.534,3.394,
30.200,-0.004,3.549,-2.036,
30.250,0.175,3.302,-6.836,
30.300,0.332,2.836,-10.860,
30.350,0.463,2.196,-14.205,
30.400,0.559,1.396,-16.823,
30.450,0.607,0.480,-18.617,
30.500,0.607,-0.495,-19.635,
30.550,0.559,-1.498,-20.071,
30.600,0.458,-2.516,-19.829,
30.650,0.305,-3.520,-18.326,
30.700,0.105,-4.422,-14.738,
30.750,-0.144,-5.091,-8.436,
30.800,-0.419,-5.367,0.582,
30.850,-0.698,-5.105,11.490,
30.900,-0.951,-4.232,22.544,
30.950,-1.143,-2.778,31.561,
31.000,-1.244,-0.931,36.749,
31.011,,,,1.00
31.050,-1.239,1.062,37.331,
31.066,,,,0.00
31.100,-1.134,2.953,33.549,
31.150,-0.934,4.538,26.325,
31.200,-0.663,5.658,17.162,
31.250,-0.349,6.254,7.902,
31.300,-0.022,6.385,0.242,
31.350,0.301,6.181,-4.945,
31.400,0.602,5.803,-7.612,
31.450,0.881,5.352,-8.193,
31.500,1.139,4.931,-7.272,
31.550,1.370,4.596,-5.381,
31.600,1.593,4.378,-3.103,
31.650,1.806,4.291,-0.824,
31.700,2.016,4.305,1.212,
31.750,2.234,4.422,2.860,
31.800,2.457,4.611,4.024,
31.850,2.692,4.843,4.412,
31.900,2.941,5.091,3.588,
31.950,3.203,5.265,1.164,
32.000,3.473,5.265,-2.860,
32.050,3.739,5.018,-8.048,
32.100,3.984,4.480,-13.720,
32.150,4.198,3.636,-18.956,
32.200,4.359,2.531,-22.544,
32.250,4.455,1.280,-23.368,
32.257,,,,1.00
32.300,4.485,0.073,-21.041,
32.312,,,,0.00
32.350,4.455,-0.916,-16.193,
32.400,4.381,-1.585,-10.036,
32.450,4.285,-1.920,-3.685,
32.500,4.180,-1.934,2.085,
32.550,4.080,-1.673,6.642,
32.600,4.006,-1.207,9.405,
32.650,3.958,-0.654,10.133,
32.700,3.940,-0.131,9.018,
32.750,3.949,0.291,6.545,
32.800,3.975,0.553,3.248,
32.850,4.010,0.625,-0.339,
32.900,4.045,0.509,-3.636,
32.950,4.067,0.233,-6.109,
33.000,4.071,-0.145,-7.466,
33.050,4.054,-0.553,-7.709,
33.100,4.014,-0.945,-7.078,
33.150,3.958,-1.280,-5.769,
33.200,3.883,-1.542,-3.830,
33.250,3.800,-1.687,-1.357,
33.300,3.709,-1.687,1.503,
33.350,3.626,-1.542,4.460,
33.400,3.552,-1.236,7.272,
33.450,3.495,-0.800,9.696,
33.500,3.469,-0.247,11.539,
33.509,,,,1.00
33.550,3.469,0.378,12.751,
33.565,,,,0.00
33.600,3.504,1.047,13.187,
33.650,3.574,1.731,12.702,
33.700,3.678,2.356,11.151,
33.750,3.814,2.880,8.387,
33.800,3.971,3.243,4.169,
33.850,4.145,3.360,-1.648,
33.900,4.320,3.127,-8.533,
33.950,4.472,2.502,-15.272,
34.000,4.581,1.542,-20.411,
34.050,4.634,0.364,-22.980,
34.100,4.621,-0.858,-22.786,
34.150,4.542,-1.993,-20.314,
34.200,4.416,-2.938,-16.290,
34.250,4.241,-3.651,-11.248,
34.300,4.040,-4.087,-5.769,
34.350,3.822,-4.218,-0.533,
34.400,3.608,-4.102,3.782,
34.450,3.408,-3.796,6.981,
34.500,3.224,-3.374,9.357,
34.550,3.067,-2.851,11.199,
34.600,2.937,-2.240,12.702,
34.650,2.841,-1.571,13.914,
34.700,2.779,-0.844,14.981,
34.750,2.753,-0.073,16.096,
34.766,,,,1.00
34.800,2.771,0.756,17.356,
34.821,,,,0.00
34.850,2.827,1.658,18.762,
34.900,2.932,2.633,19.926,
34.950,3.089,3.680,20.071,
35.000,3.299,4.712,18.132,
35.050,3.565,5.600,13.138,
35.100,3.870,6.152,4.800,
35.150,4.198,6.181,-6.351,
35.200,4.512,5.571,-18.859,
35.250,4.778,4.276,-30.592,
35.300,4.961,2.400,-39.173,
35.350,5.031,0.175,-42.761,
35.400,4.979,-2.080,-40.821,
35.450,4.813,-4.072,-34.179,
35.500,4.555,-5.600,-24.483,
35.550,4.232,-6.560,-13.672,
35.600,3.879,-6.938,-3.685,
35.650,3.521,-6.836,3.927,
35.700,3.185,-6.429,8.436,
35.750,2.875,-5.890,10.036,
35.800,2.596,-5.352,9.405,
35.850,2.343,-4.901,7.369,
35.900,2.112,-4.596,4.703,
35.950,1.889,-4.436,1.988,
36.000,1.671,-4.407,-0.485,
36.022,,,,1.00
36.050,1.453,-4.494,-2.521,
36.077,,,,0.00
